Category ,Subcategory,Budget,Revised Budget,Actuals Spent till 31st MAR 2025,%,"Spent till 31st March,2024",April '24,May '24,June'24,July'24,August'24,Sep'24,Oct '24,NOV '24,Dec'24,Jan'25,Feb'25,Mar'25,Total
Infra Cost,CC ROADS & ROAD SIDE WORKS & PROJECT COMPOUND WALL,"1,79,64,000.00","1,78,74,000.00","1,28,92,764.18",9,"84,05,199","2,90,420","4,62,080","4,28,080","3,29,665","2,74,161","6,23,492","2,24,736","4,82,115","10,95,828","94,391","1,71,404","11,192","1,28,92,764"
Infra Cost,Ponds + Canal,"15,96,000.00","12,96,000.00","5,19,413.04",5,"3,22,600",0,0,0,0,0,0,"92,040","92,773",0,0,"12,000",0,"5,19,413"
Infra Cost,"""Landscaping[Soft and hardscaping] Common areas like Clubhouse, Road side area, Sports club, SPA, Front end structures and other misc. areas""","48,60,000.00","36,60,000.00","24,56,524.68",8,"14,81,722","67,811","21,626","79,919","1,65,473","2,22,784","1,11,746","51,375","1,42,309","21,739","27,720","62,301",0,"24,56,525"
Infra Cost,"Openwells including Excavation, Dressing, CRS Masonry, Safety etc.,","46,92,000.00","40,92,000.00","86,51,690.88",25,"84,24,673",0,"14,449","30,289",0,0,"12,911",0,"1,800",0,"2,366","1,40,016",25188,"86,51,691"
Infra Cost,Front Ent Structures,"21,00,000.00","18,00,000.00","25,29,413.04",17,"23,04,238","14,400",5628,27960,"9,000",0,"17,974","1,03,417",0,0,0,0,46796,"25,29,413"
Infra Cost,Parking Structures (7 No.s),"76,20,000.00","70,20,000.00","40,61,972.04",7,"29,54,671","8,708",0,"24,642","3,24,816","1,00,363","1,03,417",0,"1,41,885","1,73,609","55,198","1,74,663",0,"40,61,972"
Infra Cost,Rurban Hive,"72,24,000.00","60,24,000.00","56,42,301.99",11,"55,39,089","21,196",0,0,0,"30,636",0,0,0,"41,741",0,"9,641",0,"56,42,302"
Infra Cost,Cluster Clubs (7 No.s),"28,80,000.00","25,80,000.00","16,71,483.48",8,"14,38,200","4,884",0,"43,675","13,188","71,235","13,460",0,"85,457",0,0,"1,385",0,"16,71,483"
Infra Cost,House of Activity (Sports & Activities),"48,84,000.00","42,84,000.00","40,05,376.32",11,"28,56,583","38,217",0,0,"60,000","1,80,000","46,998","4,58,556","1,62,899",0,"1,00,428",0,"1,01,694","40,05,376"
Infra Cost,Misc,"9,84,000.00","8,64,000.00","3,15,614.64",4,"2,72,526","1,150",802,547,"17,646","7,120","2,599","7,278","4,452","1,495",0,0,0,"3,15,615"
Infra Cost,GOD'S OWN OFFICE (SPA),"29,64,000.00","11,64,000.00","11,84,908.44",12,"11,64,128",0,0,404,"15,845",0,0,0,0,0,4532,0,0,"11,84,908"
Infra Cost,FARMING,"82,56,000.00","70,56,000.00","50,11,875.60",9,"24,80,601","4,66,192",24228,24998,"1,09,266","3,20,687","73,842","5,02,157","2,05,132","2,41,298",183195,257178,123100,"50,11,876"
Infra Cost,Ext. Electrical Works,"88,92,000.00","85,92,000.00","83,97,479.04",12,"53,56,116","2,15,628","5,55,150","5,29,928","1,53,499","2,91,133","1,77,009","3,98,384","1,19,226","1,55,663","38,180","4,07,565",0,"83,97,479"
Infra Cost,Ext. Plumbing Works,"65,28,000.00","62,28,000.00","68,51,265.48",13,"49,64,780","23,506","70,951","5,15,944",0,"2,05,755","7,901","1,57,783","3,37,068","1,04,639","15,480","4,47,458",0,"68,51,265"
Infra Cost,Solar Power,"58,56,000.00","58,56,000.00","25,19,902.92",5,"6,85,102",0,0,0,0,0,0,0,0,0,0,0,"18,34,801","25,19,903"
Infra Cost,"Automation and IT[ Common areas like CCTV,Access,Security Systems,Peripherals]","15,00,000.00","15,00,000.00","11,85,182.04",9,0,"68,868",0,"63,848","3,38,219",0,0,"1,58,400","59,310","1,24,843","28,565","1,06,988","2,36,141","11,85,182"
Infra Cost,E-Auto,"6,12,000.00","6,12,000.00","4,31,832.00",8,0,0,0,"74,820",0,0,0,0,0,"3,57,012",0,0,0,"4,31,832"
Infra Cost,PROJECT PRELIMS,"42,84,000.00","30,84,000.00","50,23,915.56",20,"38,66,143","92,740",61788,93488,"1,77,999","1,19,983","56,129","39,255","64,535","2,79,041",55065,72803,44945,"50,23,916"
CONSTRUCTION,CONSTRUCTION OF VILLAS 182 nos,"17,38,44,000.00","16,96,44,000.00","8,91,63,932.51",6,"6,84,51,330","22,45,989","19,42,832","28,06,520","25,87,527","14,53,407","12,11,744","17,14,704","32,12,172","11,50,244","4,11,548","14,15,735","5,60,181","8,91,63,933"
OTHER CHARGES,Consultants,"48,45,720.00","42,45,720.00","36,15,811.20",10,3219942.12,"7,296","9,600","46,800","84,960","28,800","38,540","26,880",0,"14,193","80,000","58,800",0,"36,15,811"
OTHER CHARGES,approvals including Mission Bhagiratha,"1,92,00,000.00","1,32,00,000.00","1,86,24,596.76",17,11890900.56,0,0,0,0,"1,200",0,0,0,0,"67,20,496",0,"12,000","1,86,24,597"
OTHER CHARGES,admin charges including CSR Activities + Bakaram Diary Farm + Organo Nursery+EV Charing Station+IT Reversal+OES Expn.+ OFS Expn.+Salaries Site)+Indirect Expenses,"2,04,00,000.00","1,80,00,000.00","6,63,13,679.04",44,42417824,12288855,1547397,939195,2146031,"22,27,598",1849271,2418599,83001,101143,"1,55,629",84368,"54,768","6,63,13,679"
OTHER CHARGES,Marketing / Business promotion,"62,40,000.00","56,40,000.00","1,09,73,990.64",23,7605465.12,288106,316336,295908,516471,"6,37,829",647104,657698,2268,2268,"2,268",0,"2,268","1,09,73,991"
OTHER CHARGES,finance cost,"72,00,000.00","48,00,000.00","1,22,51,199.60",31,7172018.16,284240,258024,366827,774249,"6,87,153",458876,386454,519492,352936,"3,57,089",345029,"2,88,812","1,22,51,200"
Land,land 2nd phase,"5,16,00,000.00","1,34,47,781.40","1,34,47,781.40",12,"1,34,23,230","7,488",0,120,0,0,"16,944",0,0,0,0,0,0,"1,34,47,781"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
